1820,0
1822,0
1823,0
1825,0
1828,0
1830,0
1831,0
1833,0
1836,0
1840,0
1843,0
1846,0
1851,0
1856,0
1861,46.88
1862,46.88
1866,46.88
1867,46.88
1871,46.88
1872,46.88
1876,46.88
1881,46.88
1882,46.88
1887,46.88
1891,46.88
1892,46.88
1896,46.88
1901,93.75
1902,93.75
1904,93.75
1906,93.75
1907,93.75
1909,93.75
1910,93.75
1912,93.75
1914,93.75
1915,93.75
1919,93.75
1920,93.75
1924,93.75
1927,93.75
1928,93.75
1932,93.75
1937,93.75
1942,93.75
1945,93.75
1946,93.75
1950,93.75
1951,93.75
1955,93.75
1956,140.62
1960,140.62
1961,187.5
1963,140.62
1965,93.75
1968,140.62
1969,93.75
1973,140.62
1974,93.75
1978,140.62
1983,93.75
1986,140.62
1988,140.62
1991,140.62
1992,140.62
1996,140.62
2001,140.62
2004,140.62
2006,140.62
2009,140.62
2010,140.62
2014,140.62
2015,140.62
2019,187.5
2020,140.62
2024,140.62
2027,140.62
2028,187.5
2032,187.5
2033,187.5
2035,281.25
2037,187.5
2038,187.5
2042,140.62
2045,187.5
2047,187.5
2050,187.5
2051,187.5
2055,187.5
2056,187.5
2060,187.5
2065,187.5
2068,187.5
2069,187.5
2073,187.5
2074,187.5
2078,187.5
2079,234.37
2083,234.37
2084,187.5
2088,187.5
2089,234.37
2093,234.37
2094,187.5
2098,234.37
2099,234.37
2103,234.37
2106,234.37
2107,234.37
2111,234.37
2112,234.37
2116,234.37
2117,234.37
2121,234.37
2122,281.25
2126,234.37
2129,281.25
2131,234.37
2134,234.37
2135,234.37
2139,234.37
2140,234.37
2144,234.37
2147,281.25
2149,234.37
2152,234.37
2153,281.25
2157,234.37
2158,281.25
2162,281.25
2163,281.25
2167,281.25
2168,234.37
2172,281.25
2175,281.25
2176,281.25
2180,234.37
2181,281.25
2185,234.37
2186,328.12
2190,281.25
2193,281.25
2194,281.25
2198,328.12
2199,281.25
2203,328.12
2204,281.25
2208,281.25
2209,281.25
2213,328.12
2214,281.25
2218,328.12
2219,281.25
2223,281.25
2228,281.25
2231,328.12
2233,328.12
2236,328.12
2237,281.25
2241,328.12
2242,328.12
2246,328.12
2247,328.12
2251,375
2252,328.12
2256,328.12
2259,328.12
2261,375
2264,328.12
2265,375
2269,328.12
2270,328.12
2274,328.12
2277,375
2279,328.12
2282,375
2283,328.12
2287,328.12
2288,375
2292,375
2293,375
2297,375
2300,328.12
2302,375
2305,328.12
2306,375
2310,375
2315,375
2318,375
2319,421.87
2323,375
2324,375
2328,375
2331,375
2332,421.87
2336,375
2337,421.87
2341,375
2342,421.87
2346,375
2349,375
2351,421.87
2354,421.87
2356,421.87
2359,421.87
2360,375
2364,421.87
2365,375
2369,421.87
2372,421.87
2374,421.87
2377,421.87
2378,421.87
2382,421.87
2383,421.87
2387,421.87
2388,468.75
2392,421.87
2395,468.75
2397,421.87
2400,468.75
2401,421.87
2405,468.75
2406,421.87
2410,421.87
2411,468.75
2415,468.75
2416,468.75
2420,421.87
2421,468.75
2425,468.75
2428,468.75
2430,468.75
2433,468.75
2435,468.75
2438,468.75
2439,468.75
2443,468.75
2444,468.75
2448,468.75
2449,468.75
2453,468.75
2454,515.62
2458,468.75
2459,515.62
2463,468.75
2466,515.62
2468,515.62
2471,468.75
2472,515.62
2476,468.75
2477,515.62
2481,468.75
2482,515.62
2486,515.62
2487,515.62
2491,515.62
2496,468.75
2499,515.62
2501,515.62
2504,515.62
2505,562.5
2552,1031.25
2554,562.5
2555,562.5
2559,515.62
2560,562.5
2564,562.5
2565,562.5
2569,562.5
2574,515.62
2577,562.5
2578,562.5
2582,562.5
2583,562.5
2587,562.5
2590,562.5
2592,562.5
2595,562.5
2596,562.5
2600,562.5
2601,609.37
2605,609.37
2606,609.37
2610,562.5
2615,609.37
2618,609.37
2620,562.5
2623,609.37
2624,609.37
2628,609.37
2629,609.37
2633,609.37
2634,609.37
2638,562.5
2639,609.37
2643,609.37
2648,609.37
2653,562.5
2656,609.37
2658,609.37
2661,656.25
2663,609.37
2666,656.25
2668,656.25
2671,656.25
2672,609.37
2676,656.25
2677,609.37
2681,609.37
2682,656.25
2686,609.37
2687,656.25
2691,609.37
2696,656.25
2699,656.25
2701,656.25
2704,656.25
2705,656.25
2709,609.37
2710,656.25
2714,609.37
2715,656.25
2719,656.25
2720,656.25
2724,656.25
2729,656.25
2732,656.25
2734,656.25
2737,656.25
2738,656.25
2742,703.12
2743,656.25
2747,656.25
2748,656.25
2752,656.25
2757,656.25
2762,703.12
2765,656.25
2767,656.25
2770,656.25
2772,703.12
2775,656.25
2777,703.12
2780,656.25
2782,703.12
2785,656.25
2786,703.12
2790,656.25
2791,703.12
2795,656.25
2796,703.12
2800,703.12
2801,703.12
2805,656.25
2810,656.25
2815,703.12
2818,703.12
2820,703.12
2823,703.12
2824,703.12
2828,656.25
2829,703.12
2833,656.25
2834,750
2838,703.12
2839,703.12
2843,703.12
2848,656.25
2851,656.25
2853,750
2856,703.12
2857,750
2861,703.12
2862,703.12
2866,703.12
2867,750
2871,703.12
2872,750
2876,703.12
2879,703.12
2881,703.12
2884,703.12
2885,703.12
2889,703.12
2890,750
2894,703.12
2895,750
2899,703.12
2900,750
2904,750
2905,703.12
2907,884.23
2953,750
2954,750
2958,750
2959,750
2963,750
2964,750
2968,843.75
2970,750
2971,750
2975,750
2976,750
2980,750
2981,703.12
2985,750
2986,750
2990,750
2991,750
2995,750
2996,796.87
3000,750
3001,796.87
3005,750
3006,750
3010,750
3011,750
3015,750
3016,750
3020,750
3025,750
3030,796.87
3031,750
3035,750
3038,750
3040,750
3043,750
3044,750
3048,750
3049,750
3053,750
3054,750
3058,750
3059,796.87
3063,750
3068,750
3073,750
3076,750
3078,750
3081,703.12
3083,796.87
3086,750
3087,796.87
3091,750
3092,796.87
3096,750
3097,750
3101,796.87
3106,796.87
3109,750
3111,750
3114,750
3116,796.87
3119,750
3120,750
3124,750
3125,750
3129,750
3130,750
3134,796.87
3135,750
3139,750
3140,750
3144,750
3147,750
3149,750
3152,750
3154,796.87
3157,750
3158,796.87
3162,796.87
3163,750
3167,750
3168,796.87
3172,750
3173,796.87
3177,750
3178,750
3182,750
3226,941.76
3227,796.87
3231,796.87
3232,843.75
3236,796.87
3237,796.87
3241,750
3242,796.87
3246,796.87
3247,796.87
3251,796.87
3256,796.87
3261,750
3262,843.75
3266,750
3267,796.87
3271,750
3276,750
3279,796.87
3281,796.87
3284,796.87
3285,796.87
3289,796.87
3290,796.87
3294,796.87
3295,750
3299,796.87
3300,796.87
3304,750
3309,796.87
3312,796.87
3314,796.87
3317,796.87
3318,796.87
3322,796.87
3323,796.87
3327,796.87
3328,796.87
3332,750
3333,796.87
3337,796.87
3342,796.87
3347,843.75
3350,796.87
3352,796.87
3355,796.87
3356,796.87
3360,750
3361,796.87
3365,796.87
3409,958.81
3411,890.62
3412,796.87
3416,796.87
3417,796.87
3421,796.8
3465,965.2
3467,843.75
3469,890.62
3470,796.87
3472,963.07
3516,937.5
3518,937.5
3522,796.87
3523,796.87
3527,796.87
3528,796.87
3532,750
3533,843.75
3537,796.87
3538,796.87
3542,750
3544,937.5
3549,796.87
3550,843.75
3554,843.75
3556,796.87
3559,750
3561,843.75
3564,796.87
3566,843.75
3569,796.87
3571,796.87
3574,750
3576,843.75
3579,750
3580,796.87
3584,796.87
3585,796.87
3589,750
3590,843.75
3594,796.87
3595,796.87
3599,796.87
3600,796.87
3604,796.87
3605,796.87
3609,796.87
3610,796.87
3614,843.75
3615,843.75
3619,750
3620,843.75
3624,750
3625,796.87
3629,796.87
3630,796.87
3634,796.87
3635,796.87
3639,796.87
3640,843.75
3644,796.87
3645,796.87
3649,796.87
3650,843.75
3654,796.87
3655,843.75
3659,796.87
3660,796.87
3664,796.87
3665,796.87
3669,796.87
3670,796.87
3674,796.87
3675,796.87
3679,843.75
3680,750
3684,796.87
3685,843.75
3689,750
3690,843.75
3694,796.87
3695,796.87
3699,843.75
3700,796.87
3704,843.75
3709,796.87
3712,750
3713,843.75
3717,796.87
3718,796.87
3720,375.53
3768,796.87
3769,796.87
3773,796.87
3774,796.87
3778,796.87
3780,843.75
3781,937.5
3785,796.87
3786,796.87
3790,890.62
3792,843.75
3793,843.75
3797,843.75
3799,843.75
3804,843.75
3805,890.62
3809,750
3810,796.87
3812,937.5
3816,796.87
3817,843.75
3821,843.75
3822,796.87
3826,890.62
3827,796.87
3833,796.87
3836,796.87
3880,980.11
3882,796.87
3883,796.87
3887,796.87
3889,796.87
3892,796.87
3893,843.75
3897,796.87
3898,843.75
3902,796.87
3903,843.75
3907,796.87
3908,796.87
3912,796.87
3913,796.87
3917,796.87
3918,843.75
3922,796.87
3927,796.87
3930,796.87
3932,796.87
3935,796.87
3936,796.87
3940,843.75
3941,796.87
3945,796.87
3946,796.87
3950,796.87
3951,843.75
3955,796.87
3956,796.87
3960,843.75
3961,796.87
3965,796.87
3966,843.75
3970,796.87
3973,796.87
3975,796.87
3978,796.87
3979,796.87
3983,843.75
3984,796.87
3988,796.87
3989,796.87
3993,843.75
3994,750
3998,796.87
3999,843.75
